alpha,beta,NMI
0.001,0.001,0.049 
0.003,0.001,0.058 
0.01,0.001,0.061 
0.03,0.001,0.072 
0.1,0.001,0.112 
0.3,0.001,0.109 
1,0.001,0.194 
3,0.001,0.249 
10,0.001,0.473 
30,0.001,0.492 
100,0.001,0.500 
300,0.001,0.450 
1000,0.001,0.465 
0.001,0.003,0.050 
0.003,0.003,0.049 
0.01,0.003,0.048 
0.03,0.003,0.063 
0.1,0.003,0.095 
0.3,0.003,0.109 
1,0.003,0.109 
3,0.003,0.216 
10,0.003,0.285 
30,0.003,0.450 
100,0.003,0.468 
300,0.003,0.469 
1000,0.003,0.465 
0.001,0.01,0.050 
0.003,0.01,0.048 
0.01,0.01,0.048 
0.03,0.01,0.055 
0.1,0.01,0.063 
0.3,0.01,0.094 
1,0.01,0.110 
3,0.01,0.120 
10,0.01,0.239 
30,0.01,0.336 
100,0.01,0.449 
300,0.01,0.488 
1000,0.01,0.509 
0.001,0.03,0.050 
0.003,0.03,0.048 
0.01,0.03,0.048 
0.03,0.03,0.055 
0.1,0.03,0.063 
0.3,0.03,0.070 
1,0.03,0.103 
3,0.03,0.106 
10,0.03,0.211 
30,0.03,0.258 
100,0.03,0.431 
300,0.03,0.464 
1000,0.03,0.460 
0.001,0.1,0.049 
0.003,0.1,0.049 
0.01,0.1,0.042 
0.03,0.1,0.055 
0.1,0.1,0.057 
0.3,0.1,0.070 
1,0.1,0.116 
3,0.1,0.110 
10,0.1,0.184 
30,0.1,0.232 
100,0.1,0.425 
300,0.1,0.457 
1000,0.1,0.500 
0.001,0.3,0.049 
0.003,0.3,0.049 
0.01,0.3,0.042 
0.03,0.3,0.055 
0.1,0.3,0.057 
0.3,0.3,0.070 
1,0.3,0.106 
3,0.3,0.109 
10,0.3,0.159 
30,0.3,0.264 
100,0.3,0.380 
300,0.3,0.449 
1000,0.3,0.458 
0.001,1,0.049 
0.003,1,0.042 
0.01,1,0.042 
0.03,1,0.055 
0.1,1,0.057 
0.3,1,0.073 
1,1,0.121 
3,1,0.109 
10,1,0.168 
30,1,0.238 
100,1,0.428 
300,1,0.451 
1000,1,0.461 
0.001,3,0.042 
0.003,3,0.042 
0.01,3,0.042 
0.03,3,0.055 
0.1,3,0.057 
0.3,3,0.073 
1,3,0.121 
3,3,0.109 
10,3,0.163 
30,3,0.214 
100,3,0.387 
300,3,0.465 
1000,3,0.464 
0.001,10,0.042 
0.003,10,0.042 
0.01,10,0.042 
0.03,10,0.055 
0.1,10,0.057 
0.3,10,0.073 
1,10,0.109 
3,10,0.109 
10,10,0.167 
30,10,0.216 
100,10,0.277 
300,10,0.407 
1000,10,0.471 
0.001,30,0.045 
0.003,30,0.045 
0.01,30,0.045 
0.03,30,0.049 
0.1,30,0.050 
0.3,30,0.061 
1,30,0.095 
3,30,0.104 
10,30,0.111 
30,30,0.186 
100,30,0.240 
300,30,0.260 
1000,30,0.436 
0.001,100,0.052 
0.003,100,0.052 
0.01,100,0.050 
0.03,100,0.050 
0.1,100,0.051 
0.3,100,0.049 
1,100,0.095 
3,100,0.114 
10,100,0.115 
30,100,0.121 
100,100,0.186 
300,100,0.232 
1000,100,0.260 
0.001,300,0.052 
0.003,300,0.052 
0.01,300,0.050 
0.03,300,0.050 
0.1,300,0.048 
0.3,300,0.050 
1,300,0.066 
3,300,0.096 
10,300,0.115 
30,300,0.099 
100,300,0.126 
300,300,0.186 
1000,300,0.245 
0.001,1000,0.051 
0.003,1000,0.051 
0.01,1000,0.051 
0.03,1000,0.046 
0.1,1000,0.046 
0.3,1000,0.046 
1,1000,0.049 
3,1000,0.074 
10,1000,0.096 
30,1000,0.115 
100,1000,0.117 
300,1000,0.121 
1000,1000,0.186 
