,0.001,0.003,0.01,0.03,0.1,0.3,1,3,10,30,100,300,1000
0.001,0.118 ,0.117 ,0.117 ,0.117 ,0.118 ,0.118 ,0.118 ,0.113 ,0.113 ,0.114 ,0.119 ,0.119 ,0.118 
0.003,0.118 ,0.119 ,0.117 ,0.117 ,0.118 ,0.118 ,0.113 ,0.113 ,0.113 ,0.114 ,0.119 ,0.119 ,0.118 
0.01,0.123 ,0.119 ,0.117 ,0.117 ,0.113 ,0.113 ,0.113 ,0.113 ,0.113 ,0.114 ,0.118 ,0.118 ,0.118 
0.03,0.129 ,0.125 ,0.118 ,0.119 ,0.119 ,0.119 ,0.119 ,0.119 ,0.119 ,0.117 ,0.118 ,0.118 ,0.117 
0.1,0.155 ,0.139 ,0.121 ,0.125 ,0.120 ,0.120 ,0.120 ,0.120 ,0.120 ,0.118 ,0.118 ,0.119 ,0.117 
0.3,0.160 ,0.159 ,0.138 ,0.129 ,0.129 ,0.129 ,0.129 ,0.129 ,0.129 ,0.123 ,0.118 ,0.119 ,0.114 
1,0.228 ,0.171 ,0.160 ,0.161 ,0.153 ,0.152 ,0.150 ,0.150 ,0.153 ,0.139 ,0.140 ,0.123 ,0.118 
3,0.353 ,0.258 ,0.180 ,0.164 ,0.157 ,0.161 ,0.161 ,0.161 ,0.161 ,0.163 ,0.149 ,0.139 ,0.128 
10,0.529 ,0.361 ,0.329 ,0.240 ,0.238 ,0.186 ,0.208 ,0.195 ,0.201 ,0.160 ,0.159 ,0.151 ,0.139 
30,0.544 ,0.572 ,0.440 ,0.347 ,0.302 ,0.334 ,0.318 ,0.298 ,0.299 ,0.228 ,0.174 ,0.159 ,0.151 
100,0.562 ,0.548 ,0.521 ,0.507 ,0.507 ,0.450 ,0.571 ,0.513 ,0.356 ,0.332 ,0.229 ,0.170 ,0.161 
300,0.514 ,0.535 ,0.542 ,0.547 ,0.533 ,0.527 ,0.522 ,0.533 ,0.519 ,0.326 ,0.315 ,0.229 ,0.165 
1000,0.504 ,0.511 ,0.575 ,0.524 ,0.568 ,0.504 ,0.536 ,0.533 ,0.523 ,0.515 ,0.326 ,0.337 ,0.229 
