,beta=0.001,beta=0.003,beta=0.01,beta=0.03,beta=0.1,beta=0.3,beta=1.0,beta=3.0,beta=10.0,beta=30.0,beta=100.0,beta=300.0,beta=1000.0
alpha=0.001,0.04868947518111816,0.05025822671356901,0.05025822671356901,0.05025822671356901,0.04908878305432527,0.04908878305432527,0.04908878305432527,0.0415550331655344,0.0415550331655344,0.045064763277717544,0.051803341066370696,0.051803341066370696,0.050773594434722076
alpha=0.003,0.05770372552863393,0.04914631688100849,0.04771083612557749,0.04771083612557749,0.04908878305432527,0.04908878305432527,0.0415550331655344,0.0415550331655344,0.0415550331655344,0.045064763277717544,0.051803341066370696,0.051803341066370696,0.050773594434722076
alpha=0.01,0.060793339236107455,0.0477594713406274,0.04771083612557749,0.04771083612557749,0.0415550331655344,0.0415550331655344,0.0415550331655344,0.0415550331655344,0.0415550331655344,0.045064763277717544,0.04975423128375367,0.04975423128375367,0.050773594434722076
alpha=0.03,0.07183818903310707,0.06287147888715257,0.05513479024038234,0.054957573879159456,0.054957573879159456,0.054957573879159456,0.054957573879159456,0.054957573879159456,0.054957573879159456,0.049476590970706606,0.04975423128375367,0.04975423128375367,0.04600517581462077
alpha=0.1,0.11211625815477114,0.09502949443174255,0.06290073557313133,0.06287147888715257,0.0573161741896878,0.0573161741896878,0.0573161741896878,0.0573161741896878,0.0573161741896878,0.05040043220146714,0.05063478521490959,0.048448610004336944,0.04600517581462077
alpha=0.3,0.1086972613744216,0.10914485207709132,0.09427078846812496,0.07035280404754843,0.07035280404754843,0.07035280404754843,0.07301031204892845,0.07301031204892845,0.07301031204892845,0.0608182057052997,0.04878635414434497,0.04982662409052014,0.04613116486275836
alpha=1.0,0.19405750680849848,0.10854799838620566,0.10953280932077313,0.10279262480007015,0.11632880141258566,0.10576161189099578,0.12056694252006274,0.12056694252006274,0.10868347481002778,0.09499981408382324,0.09452139411400269,0.06590683841102668,0.04878635414434497
alpha=3.0,0.24926624766610636,0.2163502151462047,0.12009548606597535,0.10555272176571928,0.11008158674452499,0.10894337239889527,0.10894337239889527,0.10894337239889527,0.10894337239889527,0.10409305472364919,0.11364599690083745,0.09624474753821088,0.07360884590066119
alpha=10.0,0.4731504209977868,0.2850807204036161,0.23944329413027216,0.21106823391667548,0.18386939487713252,0.1593895801013813,0.1680284572752654,0.16349853573048068,0.16691928037036394,0.11114254613719085,0.11476302827351752,0.11517923890971805,0.09624474753821088
alpha=30.0,0.49197172109830806,0.4504374429971843,0.33567680653487814,0.258019413300637,0.23233274887696062,0.263577874898137,0.23825202011338537,0.21441969344874073,0.21609195389886535,0.18641279375856437,0.12072147514513985,0.09910665095108183,0.11517923890971805
alpha=100.0,0.5004320585860877,0.467612574289834,0.44928432175741656,0.43078153152670995,0.42477428502379416,0.3796532087497296,0.4275925997377345,0.38677198976579236,0.27712446518778255,0.24034843114973714,0.18621357176417572,0.1258750632175153,0.11668298113982646
alpha=300.0,0.449611297392072,0.4685055814811188,0.48829621841747595,0.4637433012079918,0.4571973125118018,0.4488887520435053,0.45057845131035873,0.46488970740296476,0.40720143770904266,0.260030959411217,0.23230791836615314,0.18621357176417572,0.12081312752178208
alpha=1000.0,0.4645420406881494,0.4653989682500238,0.5089479464000155,0.46012660021577795,0.4997714036981675,0.4578705940962382,0.46084004835275033,0.463968658612367,0.47075433421380647,0.4361340009502015,0.260030959411217,0.24483053262853516,0.18621357176417572
